Product,Image,URL,Energiaväärtus (kJ),Energiaväärtus (kcal),Rasvad (g),millest küllastunud rasvhapped (g),Süsivesikud (g),millest suhkrud (g),Kiudained (g),Valgud (g),Sool (g),Category
Kreemjas tšillikaste,https://mcdonalds.ee/wp-content/uploads/2024/03/web_Sauce-CremyChili.png,https://mcdonalds.ee/tooted/kreemjas-tsillikaste/,268,65,5.0,0.4,4.5,3.7,0.2,0.2,0.19,Kastmed
Hapukoorekaste,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0002_McD_web2021_Sauce-SourCreem.jpg,https://mcdonalds.ee/tooted/hapukoorekaste/,441,107,11,1.4,2.3,2.1,0.1,0.5,0.45,Kastmed
Ketšup,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0009_McD_web2021_Sauce_ketcups.jpg,https://mcdonalds.ee/tooted/ketsup/,58,14,0.0,0.0,3.1,2.2,0.2,0.2,0.24,Kastmed
Magushapu kaste,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0001_McD_web2021_Sauce-SweetSource.jpg,https://mcdonalds.ee/tooted/magushapu-kaste/,212,50,0.3,,12,8.4,,0.1,0.31,Kastmed
Küüslaugukaste,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0003_McD_web2021_Sauce-Garlic.jpg,https://mcdonalds.ee/tooted/kuuslaugukaste/,696,169,18.0,1.4,0.9,0.7,0.1,0.3,0.36,Kastmed
BBQ-kaste,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0007_McD_web2021_Sauce-BBQ.jpg,https://mcdonalds.ee/tooted/bbq-kaste/,202,48,0.3,,11,8.9,,0.2,0.61,Kastmed
Caesari kaste,https://mcdonalds.ee/wp-content/uploads/2019/07/0006s_0006_McD_web2021_Sauce-Caesary.jpg,https://mcdonalds.ee/tooted/caesari-kaste/,412,100,9.1,1.4,3,2.3,0.1,1.4,0.82,Kastmed
"Coca-Cola®, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola_200.png,https://mcdonalds.ee/tooted/coca-cola-250-ml/,452,107,0.0,0.0,26,26,0.0,0.0,0.0,My Combo
"Coca-Cola Zero®, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola-Zero_200.png,https://mcdonalds.ee/tooted/coca-cola-zero-250-ml/,3,1,0.0,,,,0.0,0.0,0.08,My Combo
"Coca-Cola®, 500 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola_500.png,https://mcdonalds.ee/tooted/coca-cola-500-ml/,904,213,0.0,0.0,53,53,0.0,0.0,0.0,Kulmad Joogid
"Coca-Cola Zero®, 400 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola-Zero_400.png,https://mcdonalds.ee/tooted/coca-cola-zero-400-ml/,4,1,0.0,,,,0.0,0.0,0.12,Kulmad Joogid
"Coca-Cola®, 400 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola_400.png,https://mcdonalds.ee/tooted/coca-cola-400-ml/,723,170,0.0,0.0,42,42,0.0,0.0,0.0,Kulmad Joogid
"Coca-Cola Zero®, 500 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Cola-Zero_500.png,https://mcdonalds.ee/tooted/coca-cola-zero-500-ml/,6,2,0.0,,,,0.0,0.0,0.15,Kulmad Joogid
"Fanta®, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Fanta_200.png,https://mcdonalds.ee/tooted/fanta-250-ml/,438,103,0.0,,26,26,0.0,0.0,0.0,My Combo
"Fanta®, 400 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Fanta_400.png,https://mcdonalds.ee/tooted/fanta-400-ml/,700,165,0.0,,41,41,0.0,0.0,0.0,Kulmad Joogid
"Fanta®, 500 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Fanta_500.png,https://mcdonalds.ee/tooted/fanta-500-ml/,876,206,0.0,,52,52,0.0,0.0,0.0,Kulmad Joogid
"Sprite®, 400 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Sprite_400.png,https://mcdonalds.ee/tooted/sprite-400-ml/,619,146,,,36.4,36.4,,,0.30,Kulmad Joogid
"Sprite®, 250 ml",https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_Sprite_200.png,https://mcdonalds.ee/tooted/sprite-250-ml/,387,619,,,22.8,22.8,,,0.19,My Combo
"Sprite®, 500 ml",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Sprite_500.png,https://mcdonalds.ee/tooted/sprite-500-ml/,774,182,,,46,46,,,0.38,Kulmad Joogid
Mineraalvesi,https://mcdonalds.ee/wp-content/uploads/2019/07/McD_web2021_SanBenedetto-nat.png,https://mcdonalds.ee/tooted/mineraalvesi/,,,0.0,,,,0.0,0.0,0.0,Kulmad Joogid
"Lipton® virsiku jäätee, 500 ml",https://mcdonalds.ee/wp-content/uploads/2021/07/McD_web2021_Lipton-tee-500.png,https://mcdonalds.ee/tooted/lipton-virsiku-jaatee-500-ml/,391,92,0.0,,23,23,0.0,0.0,0.15,Kulmad Joogid
